name,born,died,sex,source
Hermann von Wedderkop,1875,1956,m,
Armin T. Wegner,1886,1978,m,
Josef Magnus Wehner,1891,1973,m,
Wilhelm Weigand,1862,1949,m,
Carsten Wieland,1971,na,m,
Peter Weiss,1916,1982,m,
Wilhelm Weitling,1808,1871,m,
Ehm Welk,1884,1966,m,
Franz Werfel,1890,1945,m,
Benedikt Maria Leonhard von Werkmeister,1745,1823,m,
Zacharias Werner,1768,1823,m,
Christian Wernicke,1661,1725,m,
Ignaz Heinrich von Wessenberg,1774,1860,m,
Ernst Wiechert,1887,1950,m,
Christoph Martin Wieland,1733,1813,m,
Adolf Wilbrandt,1837,1911,m,
Ernst von Wildenbruch,1845,1901,m,
Bruno Wille,1860,1928,m,
Johann Joachim Winckelmann,1717,1768,m,
Eugen Gottlob Winkler,1912,1936,m,
Karl August Wittfogel,1896,1988,m,
Gabriele Wohmann,1932,2015,f,
Christa Wolf,1929,2011,f,
Friedrich Wolf,1888,1953,m,
Julius Wolff,1834,1910,m,
Wolfram von Eschenbach,1170,1220,m,
Karl Wolfskehl,1869,1948,m,
Hans Wollschläger,1935,2007,m,
Ernst von Wolzogen,1855,1934,m,
Paul Wühr,1927,2016,m,
Bahar Yilmaz,1984,na,f,
Barbara Yelin,1977,na,f,
Feridun Zaimoğlu,1964,na,m,
Joseph Christian von Zedlitz,1790,1862,m,
Eva Zeller,1923,2022,f,
Nikolaus Ludwig von Zinzendorf,1700,1760,m,
Kathinka Zitz-Halein,1801,1877,f,
Johann Heinrich Daniel Zschokke,1771,1848,m,
Karl Zuchardt,1887,1968,m,
Carl Zuckmayer,1896,1977,m,
Unica Zürn,1916,1970,f,
Arnold Zweig,1887,1968,m,
Stefan Zweig,1881,1942,m,
Stefanie Zweig,1932,2014,f,
Jan Zweyer,1953,na,m,
Hans von Zwiedineck-Südenhorst,1845,1906,m,
