name,born,died,sex,source
Ring Lardner,1885,1933,,
Nella Larsen,1891,1964,,
Helen Lawrenson,1907,1982,,
John Howard Lawson,1894,1977,,
Robert Lax,1915,2000,,
Richard Laymon,1947,2001,,
Munro Leaf,1905,1976,,
Timothy Leary,1920,1996,,
David Leavitt,1961,na,,
Ann Leckie,1966,na,,
Chang-Rae Lee,1965,na,,
Edward Lee,1957,na,,
Harper Lee,1926,2016,,
Ursula K. Le Guin,1929,2018,,
Fritz Leiber,1910,1992,,
Justin Leiber,1938,2016,,
Madeleine L’Engle,1918,2007,,
Donna Leon,1942,na,,
Elmore Leonard,1925,2013,,
William Ellery Leonard,1876,1944,,
John T. Lescroart,1948,na,,
Stan Leventhal,1951,1995,,
Denise Levertov,1923,1997,,
Ira Levin,1929,2007,,
Meyer Levin,1905,1981,,
Philip Levine,1928,2015,,
David Levithan,1972,na,,
Myron Levoy,1930,2019,,
Sinclair Lewis,1885,1951,,
Ludwig Lewisohn,1882,1955,,
Lin Yutang,1895,1976,,
Nicholas Vachel Lindsay,1879,1931,,
Johanna Lindsey,1952,2019,,
Jane Lindskold,1962,na,,
Jonathan Littell,1967,na,,
Robert Littell,1935,na,,
Arnold Lobel,1933,1987,,
Patricia Lockwood,1982,na,,
Ron Loewinsohn,1937,2014,,
Jack London,1876,1916,,
Henry Wadsworth Longfellow,1807,1882,,
Augustus Baldwin Longstreet,1790,1870,,
Hendrik Willem van Loon,1882,1944,,
Anita Loos,1889,1981,,
Audre Lorde,1934,1992,,
Jean Lorrah,1948,na,,
H. P. Lovecraft,1890,1937,,
Amy Lowell,1874,1925,,
James Russell Lowell,1819,1891,,
Robert Lowell,1917,1977,,
Mabel Dodge Luhan,1879,1962,,
Alison Lurie,1926,2020,,
Garielle Lutz,1955,na,,
John Lutz,1939,2021,,
Elizabeth A. Lynn,1946,na,,
Phyllis Lyon,1924,2020,,
Andrew Nelson Lytle,1902,1995,,
Amy MacDonald,1951,na,,
Ross Macdonald,1915,1983,,
Helen MacInnes,1907,1985,,
Percy MacKaye,1875,1956,,
Archibald MacLeish,1892,1982,,
Charlotte MacLeod,1922,2005,,
Jackson MacLow,1922,2004,,
Haki R. Madhubuti,1942,na,,
Karan Mahajan,1984,na,,
Norman Mailer,1923,2007,,
Bernard Malamud,1914,1986,,
Janet Malcolm,1934,2021,,
Josh Malerman,1975,na,,
Judith Malina,1926,2015,,
Barry N. Malzberg,1939,na,,
David Mamet,1947,na,,
Frank Manley,1930,2009,,
Eric Marcus,1958,na,,
Sharon Marcus,1966,na,,
Steven Marcus,1928,2018,,
Laurie J. Marks,1957,na,,
David Markson,1927,2010,,
John Phillips Marquand,1893,1960,,
Del Martin,1921,2008,,
Gail Z. Martin,1962,na,,
George R. R. Martin,1948,na,,
Hans-Jürgen Massaquoi,1926,2013,,
Sujata Massey,1964,na,,
Jeffrey Masson,1941,na,,
Cotton Mather,1663,1728,,
Richard Matheson,1926,2013,,
Jason Matthews,1951,2021,,
Peter Matthiessen,1927,2014,,
Armistead Maupin,1944,na,,
William Maxwell,1908,2000,,
Julian May,1931,2017,,
Thomas Mayne Reid,1818,1883,,
Imbolo Mbue,1982,na,,
James McBride,1957,na,,
Charles McCarry,1930,2019,,
Cormac McCarthy,1933,2023,,
Mary McCarthy,1912,1989,,
Scott McClanahan,1978,na,,
J. D. McClatchy,1945,2018,,
Michael McClure,1932,2020,,
Frank McCourt,1930,2009,,
Malachy McCourt,1931,na,,
Tarell Alvin McCraney,1980,na,,
Carson McCullers,1917,1967,,
Cody McFadyen,1968,2023,,
Joe McGinniss,1942,2014,,
Bob McGrath,1932,2022,,
Maureen F. McHugh,1959,na,,
Claude McKay,1889,1948,,
Suzy McKee Charnas,1939,2023,,
Rod McKuen,1933,2015,,
Ron McLarty,1947,2020,,
Lois McMaster Bujold,1949,na,,
Larry McMurtry,1936,2021,,
Terrence McNally,1938,2020,,
James Alan McPherson,1943,2016,,
Marijane Meaker,1927,2022,,
David Means,1961,na,,
Charles L. Mee,1938,na,,
Paul Melko,1968,na,,
Herman Melville,1819,1891,,
Daniel Mendelsohn,1960,na,,
William Meredith,1919,2007,,
Mark Merlis,1950,2017,,
James Merrill,1926,1995,,
Stuart Merrill,1863,1915,,
Abraham Merritt,1884,1943,,
Samuel Merwin,1874,1936,,
Thomas Merton,1915,1968,,
W. S. Merwin,1927,2019,,
Heinrich Meyer,1904,1977,,
Stephenie Meyer,1973,na,,
Joanne Meyerowitz,1954,na,,
James Michener,1907,1997,,
Margaret Millar,1915,1994,,
Edna St. Vincent Millay,1892,1950,,
Arthur Miller,1915,2005,,
Henry Miller,1891,1980,,
Joaquin Miller,1837,1913,,
Neil Miller,1945,na,,
Kate Millett,1934,2017,,
Steven Millhauser,1943,na,,
Berniece Baker Miracle,1919,2014,,
Mona Rae Miracle,1939,na,,
Andrea Mitchell,1946,na,,
Margaret Mitchell,1900,1949,,
J. R. Moehringer,1964,na,,
Virginia Ramey Mollenkott,1932,2020,,
N. Scott Momaday,1934,na,,
Paul Monette,1945,1995,,
Bill Moody,1941,2018,,
Rick Moody,1961,na,,
William Vaughn Moody,1869,1910,,
Marianne Moore,1887,1972,,
Susanna Moore,1946,na,,
Marlo Morgan,1937,na,,
A. R. Morlan,1958,2016,,
Wright Morris,1910,1998,,
Toni Morrison,1931,2019,,
James Morrow,1947,na,,
Walter Mosley,1952,na,,
Howard Moss,1922,1987,,
Robert Mrazek,1945,na,,
Marcia Muller,1944,na,,
David Mura,1952,na,,
Pat Murphy,1955,na,,
Warren Murphy,1933,2015,,
Eileen Myles,1949,na,,
Vladimir Nabokov,1899,1977,,
John J. Nance,1946,na,,
Donna Jo Napoli,1948,na,,
N. Richard Nash,1916,2000,,
Ogden Nash,1902,1971,,
Robert Nathan,1894,1985,,
Michael Nava,1954,na,,
Gloria Naylor,1950,2016,,
John Neal,1793,1876,,
Chloe Neill,1975,na,,
Howard Nemerov,1920,1991,,
Patrick Ness,1971,na,,
Joan Nestle,1940,na,,
Annalee Newitz,1969,na,,
Lesléa Newman,1955,na,,
Jack Claude Nezat,1943,na,,
John Nichols,1940,na,,
Lorine Niedecker,1903,1970,,
Anaïs Nin,1903,1977,,
Jim Nisbet,1947,2022,,
Hugh Nissenson,1933,2013,,
Larry Niven,1938,na,,
William F. Nolan,1928,2021,,
Charles Bernard Nordhoff,1887,1947,,
Frank Norris,1870,1902,,
Harold Norse,1916,2009,,
Rictor Norton,1945,na,,
Beth Nugent,1958,na,,
Naomi Shihab Nye,1952,na,,
Eric Nylund,1964,na,,
Joyce Carol Oates,1938,na,,
Samson Occom,1723,1792,,
Carol O’Connell,1947,na,,
Mary Flannery O’Connor,1925,1964,,
Scott O’Dell,1898,1989,,
Clifford Odets,1906,1963,,
Blanche Oelrichs,1890,1950,,
Andrew J. Offutt,1934,2013,,
Frank O’Hara,1926,1966,,
John O’Hara,1905,1970,,
Lauren Oliver,1982,na,,
Tillie Olsen,1912,2007,,
Charles Olson,1910,1970,,
Stewart O’Nan,1961,na,,
Eugene O’Neill,1888,1953,,
Kyle Onstott,1887,1966,,
George Oppen,1908,1984,,
James Oppenheim,1882,1932,,
Peter Orlovsky,1933,2010,,
Simon Ortiz,1941,na,,
Martha Ostenso,1900,1963,,
Alicia Ostriker,1937,na,,
Julie Otsuka,1962,na,,
Cynthia Ozick,1928,na,,
Thomas Paine,1737,1809,,
Chuck Palahniuk,1962,na,,
Grace Paley,1922,2007,,
Christopher Paolini,1983,na,,
Dorothy Parker,1893,1967,,
Robert B. Parker,1932,2010,,
Kenneth Patchen,1911,1972,,
Katherine Paterson,1932,na,,
James Patterson,1947,na,,
Cindy Patton,1956,na,,
James Kirke Paulding,1778,1860,,
Gary Paulsen,1939,2021,,
Dale Peck,1967,na,,
Walker Percy,1916,1990,,
William Armstrong Percy,1933,na,,
S. J. Perelman,1904,1979,,
Frank E. Peretti,1951,na,,
Elizabeth Peters,1927,2013,,
Julie Anne Peters,1952,2023,,
Harry Mark Petrakis,1923,2021,,
Ann Petry,1908,1997,,
William Pfaff,1928,2015,,
David Graham Phillips,1867,1911,,
Susan Elizabeth Phillips,1948,na,,
Felice Picano,1944,na,,
Jodi Picoult,1967,na,,
Tamora Pierce,1954,na,,
Marge Piercy,1936,na,,
Kathrene Pinkerton,1887,1967,,
Robert Pinsky,1940,na,,
Robert M. Pirsig,1928,2017,,
Richard Plant,1910,1998,,
Sylvia Plath,1932,1963,,
Edgar Allan Poe,1809,1849,,
Frederik Pohl,1919,2013,,
Ernest Poole,1880,1950,,
Katherine Anne Porter,1890,1980,,
Charles Portis,1933,2020,,
Ethel Portnoy,1927,2004,,
Melville Davisson Post,1869,1930,,
Neil Postman,1931,2003,,
Chaim Potok,1929,2002,,
Ezra Pound,1885,1972,,
Jerry Pournelle,1933,2017,,
Padgett Powell,1952,na,,
J. F. Powers,1917,1999,,
Richard Powers,1957,na,,
Minnie Bruce Pratt,1946,2023,,
Douglas Preston,1956,na,,
John Preston,1945,1994,,
Richard Preston,1954,na,,
Reynolds Price,1933,2011,,
Frederic Prokosch,1908,1989,,
Annie Proulx,1935,na,,
James Purdy,1914,2009,,
Mario Puzo,1920,1999,,
Thomas Pynchon,1937,na,,
Qiu Xiaolong,1953,na,,
David Quammen,1948,na,,
Carol Queen,1957,na,,
Daniel Quinn,1935,2018,,
Carl Rakosi,1903,2004,,
Claudia Rankine,1963,na,,
John Crowe Ransom,1888,1974,,
Lev Raphael,1954,na,,
Jennifer Rardin,1965,2010,,
John Rawls,1921,2002,,
Melanie Rawn,1954,na,,
Tom Reamy,1935,1977,,
Michael Reaves,1950,2023,,
John Rechy,1931,na,,
Jean M. Redmann,1955,na,,
Henry Reed,1914,1986,,
Ishmael Reed,1938,na,,
John Reed,1887,1920,,
Justin Phillip Reed,1989,na,,
Charles Reich,1928,2019,,
Kathy Reichs,1948,na,,
Agnes Repplier,1855,1950,,
Mike Resnick,1942,2020,,
Kenneth Rexroth,1905,1982,,
Jason Reynolds,1983,na,,
Mack Reynolds,1917,1983,,
Charles Reznikoff,1894,1976,,
Luke Rhinehart,1932,2020,,
Anne Rice,1941,2021,,
Christopher Rice,1978,na,,
Elmer Rice,1892,1967,,
Stan Rice,1942,2002,,
Adrienne Rich,1929,2012,,
Lola Ridge,1873,1941,,
Laura Riding,1901,1991,,
Frank Riley,1915,1996,,
Rick Riordan,1964,na,,
Caryl Rivers,1937,na,,
Harold Robbins,1916,1997,,
Tom Robbins,1932,na,,
Jennifer Roberson,1953,na,,
Elizabeth Madox Roberts,1881,1941,,
Nora Roberts,1950,na,,
Barbara Robinson,1927,2013,,
Edwin Arlington Robinson,1869,1935,,
Frank M. Robinson,1926,2014,,
Mary Rodgers,1931,2014,,
Theodore Roethke,1908,1963,,
Robert Rogers,1731,1795,,
Rosemary Rogers,1932,2019,,
Adela Rogers St. Johns,1894,1988,,
Edwin Rolfe,1909,1954,,
James Rollins,1961,na,,
Franklin Rosemont,1943,2009,,
Fran Ross,1935,1985,,
Henry Roth,1906,1995,,
Philip Roth,1933,2018,,
Alma Routsong,1924,1996,,
Rainbow Rowell,1973,na,,
Gayle Rubin,1949,na,,
Mary Ruefle,1952,na,,
Matt Ruff,1965,na,,
Leila Rupp,1950,na,,
Michael C. Ruppert,1951,2014,,
Kristine Kathryn Rusch,1960,na,,
Joanna Russ,1937,2011,,
Charles M. Russell,1864,1926,,
Paul Elliott Russell,1956,na,,
Richard Russo,1949,na,,
Richard Paul Russo,1954,na,,
Vito Russo,1946,1990,,
John Sack,1930,2004,,
Oliver Sacks,1933,2015,,
Douglas Sadownick,1959,na,,
Benjamin Alire Sáenz,1954,na,,
John Saffin,1626,1710,,
Carl Sagan,1934,1996,,
Nicholas Sagan,1970,na,,
J. D. Salinger,1919,2010,,
James Sallis,1944,na,,
James Salter,1925,2015,,
Edgar Saltus,1855,1921,,
R. A. Salvatore,1959,na,,
Sonia Sanchez,1934,na,,
Carl Sandburg,1878,1967,,
Eric San Juan,1973,na,,
George Santayana,1863,1952,,
William Saroyan,1908,1981,,
May Sarton,1912,1995,,
Walter Satterthwait,1946,2020,,
John Saul,1942,na,,
Dan Savage,1964,na,,
Richard Henry Savage,1846,1903,,
Sam Savage,1940,2019,,
Thomas Savage,1915,2003,,
Steven Saylor,1956,na,,
Sydney Schanberg,1934,2016,,
Joan Schenkar,1952,na,,
Richard Schickel,1933,2017,,
Lawrence Schimel,1971,na,,
Cathleen Schine,1953,na,,
Murray Schisgal,1926,2020,,
Franz Schoenberner,1892,1970,,
Budd Schulberg,1914,2009,,
Sarah Schulman,1958,na,,
James Schuyler,1923,1991,,
Delmore Schwartz,1913,1966,,
Lynne Sharon Schwartz,1939,na,,
Gil Scott-Heron,1949,2011,,
Melissa Scott,1960,na,,
Lisa Scottoline,1955,na,,
Alice Sebold,1963,na,,
David Sedaris,1956,na,,
Anne Douglas Sedgwick,1873,1935,,
Catherine Sedgwick,1789,1867,,
Eve Kosofsky Sedgwick,1950,2009,,
Carolyn See,1934,2016,,
Lisa See,1955,na,,
Alan Seeger,1888,1916,,
Erich Segal,1937,2010,,
Ruth Seid,1913,1995,,
Hubert Selby,1928,2004,,
Maurice Sendak,1928,2012,,
Samuel Sewall,1652,1730,,
Anne Sexton,1928,1974,,
Ntozake Shange,1948,2018,,
James S. Shapiro,1955,na,,
Karl Shapiro,1913,2000,,
Henry Wheeler Shaw,1818,1885,,
Irwin Shaw,1913,1984,,
Robert Sheckley,1928,2005,,
Charles Sheldon,1857,1946,,
Sidney Sheldon,1917,2007,,
Jim Shepard,1956,na,,
Lucius Shepard,1943,2014,,
Sam Shepard,1943,2017,,
Martin Sherman,1938,na,,
Robert Sherwood,1896,1955,,
Randy Shilts,1951,1994,,
Anita Shreve,1946,2018,,
Leslie Marmon Silko,1948,na,,
Adam Silvera,1990,na,,
Kenneth Silverman,1936,2017,,
Charles Simic,1938,2023,,
Charles Simmons,1924,2017,,
Dan Simmons,1948,na,,
William Gilmore Simms,1806,1870,,
Neil Simon,1927,2018,,
Louis Simpson,1923,2012,,
Upton Sinclair,1878,1968,,
Charles Silverstein,1935,2023,,
Isaac Bashevis Singer,1902,1991,,
Myra Sklarew,1934,na,,
Henry Slesar,1927,2002,,
Joshua Slocum,1844,1909,,
Agnes Smedley,1892,1950,,
Jane Smiley,1949,na,,
Dave Smith,1942,na,,
John Smith,1580,1631,,
L. Neil Smith,1946,2021,,
Lillian Smith,1897,1966,,
Vern Sneider,1916,1981,,
W. D. Snodgrass,1926,2009,,
Gary Snyder,1930,na,,
Dava Sobel,1947,na,,
Solita Solano,1888,1975,,
Susan Sontag,1933,2004,,
Gilbert Sorrentino,1929,2006,,
Terry Southern,1924,1995,,
E. D. E. N. Southworth,1819,1899,,
Tom Spanbauer,1946,na,,
Nicholas Sparks,1965,na,,
Elizabeth Spencer,1921,2019,,
Samuel Spewack,1899,1971,,
Mickey Spillane,1918,2006,,
Marc Spitz,1969,2017,,
Jean Stafford,1915,1979,,
William Stafford,1914,1993,,
George Stambolian,1938,1991,,
Elizabeth Cady Stanton,1815,1902,,
Jason Starr,1966,na,,
Edmund Clarence Stedman,1833,1908,,
Danielle Steel,1947,na,,
Lincoln Steffens,1866,1936,,
Wallace Stegner,1909,1993,,
Gertrude Stein,1874,1946,,
John Steinbeck,1902,1968,,
Thomas Steinbeck,1944,2016,,
Neal Stephenson,1959,na,,
Gerald Stern,1925,2022,,
Richard G. Stern,1928,2013,,
Wallace Stevens,1879,1955,,
Samuel M. Steward,1909,1993,,
Trumbull Stickney,1874,1904,,
R. L. Stine,1943,na,,
Frank R. Stockton,1834,1902,,
Charles Warren Stoddard,1843,1909,,
Richard Henry Stoddard,1825,1903,,
Dejan Stojanović,1959,na,,
Aryeh Lev Stollman,1954,na,,
Irving Stone,1903,1989,,
Robert Stone,1937,2015,,
Rex Stout,1886,1975,,
Harriet Beecher Stowe,1811,1896,,
Mark Strand,1934,2014,,
Craig Strete,1950,na,,
T. S. Stribling,1881,1965,,
Anna Louise Strong,1885,1970,,
Douglas Stuart,1976,na,,
William Styron,1925,2006,,
Ronald Sukenick,1932,2004,,
Ron Suresha,1958,na,,
Manil Suri,1959,na,,
Jacqueline Susann,1918,1974,,
Peter Swanson,1968,na,,
May Swenson,1913,1989,,
Ruth Tabrah,1921,2004,,
Amy Tan,1952,na,,
Tristan Taormino,1971,na,,
Ida Tarbell,1857,1944,,
Booth Tarkington,1869,1946,,
Donna Tartt,1963,na,,
Allen Tate,1899,1979,,
James Tate,1943,2015,,
Ronald Tavel,1936,2009,,
Bayard Taylor,1825,1878,,
Brandon Taylor,1989,na,,
Edward Taylor,1645,1729,,
Peter Taylor,1917,1994,,
Michelle Tea,1971,na,,
Sara Teasdale,1884,1933,,
William Tenn,1920,2010,,
Studs Terkel,1912,2008,,
Walter Tevis,1928,1984,,
Alexander Wheelock Thayer,1817,1897,,
Ernest Thayer,1863,1940,,
Paul Theroux,1941,na,,
Angie Thomas,1988,na,,
Dorothy Thompson,1893,1961,,
Hunter S. Thompson,1937,2005,,
Henry David Thoreau,1817,1862,,
James Thurber,1894,1961,,
Wallace Henry Thurman,1902,1934,,
Freeman Tilden,1883,1980,,
Henry Timrod,1828,1867,,
James Tiptree junior,1915,1987,,
Alice B. Toklas,1877,1967,,
Melvin B. Tolson,1898,1966,,
John Peter Toohey,1880,1946,,
F. X. Toole,1930,2002,,
John Kennedy Toole,1937,1969,,
Jean Toomer,1894,1967,,
Albion W. Tourgée,1838,1905,,
Larry Townsend,1930,2008,,
Lionel Trilling,1905,1975,,
John Trumbull,1750,1831,,
Monique Truong,1968,na,,
Frederick Goddard Tuckerman,1821,1873,,
Henry Theodore Tuckerman,1813,1871,,
Scott Turow,1949,na,,
Jane Colman Turell,1708,1735,,
Mark Twain,1835,1910,,
Anne Tyler,1941,na,,
Joel Tyler Headley,1814,1897,,
Royall Tyler,1757,1826,,
Anya Ulinich,1973,na,,
Louis Untermeyer,1885,1977,,
John Updike,1932,2009,,
Leon Uris,1924,2003,,
Andrew Vachss,1942,2021,,
Urvashi Vaid,1958,2022,,
Catherynne M. Valente,1979,na,,
Jack Vance,1916,2013,,
Mona Van Duyn,1921,2004,,
Eric Van Lustbader,1946,na,,
Hilda Van Siller,1911,1982,,
Carl Van Vechten,1880,1964,,
David Vann,1966,na,,
Janine Pommy Vega,1942,na,,
Abraham Verghese,1955,na,,
Martha Vicinus,1939,na,,
Gore Vidal,1925,2012,,
Vernor Vinge,1944,na,,
Renée Vivien,1877,1909,,
Gerald Vizenor,1934,na,,
Ned Vizzini,1981,2013,,
Paula Vogel,1951,na,,
Cynthia Voigt,1942,na,,
William T. Vollmann,1959,na,,
Kurt Vonnegut,1922,2007,,
John Vornholt,1951,na,,
Ocean Vuong,1988,na,,
Diane Wakoski,1937,na,,
Ayelet Waldman,1964,na,,
Keith Waldrop,1932,na,,
Edward Lewis Wallant,1926,1962,,
Alice Walker,1944,na,,
Margaret Walker,1915,1998,,
David Foster Wallace,1962,2008,,
Lew Wallace,1827,1905,,
Edward Lewis Wallant,1926,1962,,
Robert James Waller,1939,2017,,
Charles Dudley Warner,1829,1900,,
Michael Warner,1958,na,,
Mercy Otis Warren,1728,1814,,
Patricia Nell Warren,1936,2019,,
Robert Penn Warren,1905,1989,,
Booker T. Washington,1856,1915,,
Dale Wasserman,1914,2008,,
Wendy Wasserstein,1950,2006,,
Lawrence Edward Watkin,1901,1981,,
Charles Webb,1939,2020,,
David Weber,1952,na,,
Jean Webster,1876,1916,,
Noah Webster,1758,1843,,
Stanley G. Weinbaum,1902,1935,,
Eliot Weinberger,1949,na,,
Jennifer Weiner,1970,na,,
Ruth Weiss,1928,2020,,
Joseph Weizenbaum,1923,2008,,
James Welch,1940,2003,,
Eudora Welty,1909,2001,,
K. D. Wentworth,1951,2012,,
Barbara Wersba,1932,2018,,
Barry Werth,1952,na,,
Glenway Wescott,1901,1987,,
Jessamyn West,1902,1984,,
Nathanael West,1903,1940,,
Scott Westerfeld,1963,na,,
Robert Westfield,1972,na,,
Donald E. Westlake,1933,2008,,
Janwillem van de Wetering,1931,2008,,
Edith Wharton,1862,1937,,
William Wharton,1925,2008,,
Phillis Wheatley,1753,1784,,
Edwin Percy Whipple,1819,1886,,
Edmund White,1940,na,,
Elwyn Brooks White,1899,1985,,
Ruth White,1942,2017,,
William Allen White,1868,1944,,
Walt Whitman,1819,1892,,
George Whitmore,1945,1989,,
Reed Whittemore,1919,2012,,
John Greenleaf Whittier,1807,1892,,
Leonard Wibberley,1915,1983,,
John Wieners,1934,2002,,
Michael Wigglesworth,1631,1705,,
Richard Wilbur,1921,2017,,
Thornton Wilder,1897,1975,,
Kate Wilhelm,1928,2018,,
C. K. Williams,1936,2015,,
Charles Williams,1909,1975,,
Emmett Williams,1925,2007,,
John A. Williams,1925,2015,,
Miller Williams,1930,2015,,
Roger Williams,1603,1683,,
Tennessee Williams,1911,1983,,
William Carlos Williams,1883,1963,,
Nathaniel Parker Willis,1806,1867,,
August Wilson,1945,2005,,
Edmund Wilson,1895,1972,,
Lanford Wilson,1937,2011,,
Robert Anton Wilson,1932,2007,,
Sloan Wilson,1920,2003,,
Donald Windham,1920,2010,,
Don Winslow,1953,na,,
Kathleen Winsor,1919,2003,,
Yvor Winters,1900,1968,,
John Winthrop,1588,1649,,
John Wise,1652,1725,,
Owen Wister,1860,1938,,
Dirk Wittenborn,1952,na,,
David Wojnarowicz,1954,1992,,
Gene Wolfe,1931,2019,,
Thomas Wolfe,1900,1938,,
Tom Wolfe,1930,2018,,
Ira Wolfert,1908,1997,,
Tobias Wolff,1945,na,,
Dave Wolverton,1957,2022,,
Jack Womack,1956,na,,
Daniel Woodrell,1953,na,,
Jacqueline Woodson,1963,na,,
Alexander Woollcott,1887,1943,,
John Woolman,1720,1772,,
Constance Fenimore Woolson,1840,1894,,
Herman Wouk,1915,2019,,
John Wray,1971,na,,
Charles Wright,1935,na,,
Dough Wright,1962,na,,
Ernest Vincent Wright,~1873,1939,,
James Wright,1927,1980,,
Leslie Kirk Wright,1952,na,,
Richard Wright,1908,1960,,
Susan Wright,1963,na,,
William Connor Wright,1930,2016,,
Léon Wurmser,1931,2020,,
Elinor Wylie,1885,1928,,
Emanuel Xavier,1971,na,,
Irvin D. Yalom,1931,na,,
Richard Yates,1926,1992,,
John Yau,1950,na,,
Stephen Yenser,1941,na,,
Frank Yerby,1916,1991,,
Anzia Yezierska,1880,1970,,
Carol Beach York,1928,2013,,
Jerry Yulsman,1924,1999,,
Sol Yurick,1925,2013,,
Marya Zaturenska,1902,1982,,
Roger Zelazny,1937,1995,,
Robert D. Zimmerman,1952,na,,
Paul Zindel,1936,2003,,
