country-en,country-de,country-sv,country-lv,capital-en,capital-de,capital-sv,capital-lv,country-vi,capital-vi,country-orig,capital-alternatives
Syria,Syrien,Syrien,Sīrija,Damascus,Damaskus,Damaskus,Damaska,Syria,Damascus,Suriyah,Dimashq;Ash-Sham
Tajikistan,Tadschikistan,Tadzjikistan,Tadžikistāna,Dushanbe,Duschanbe,Dusjanbe,Dušanbe,Tajikistan,Dushanbe,Todschikiston,Dushanbe
Tanzania,Tansania,Tanzania,Tanzānija,Dododma,Dodoma,Dodoma,Dodoma,Tanzania,Dodoma,Tanzania,Dodoma
Thailand,Thailand,Thailand,Taizeme,Bangkok,Bangkok,Bangkok,Bangkoka,Thái Lan,Bangkok,Prathet Thai,Krung Thep;Krung Thep Maha Nakhon
Togo,Togo,Togo,Togo,Lomé,Lomé,Lomé,Lome,Togo,Lomé,Togo,Lomé;Lome;Loma
Tonga,Tonga,Tonga,Tonga,Nuku'alofa,Nukuʻalofa,Nukuʻalofa,Nukualofa,Tonga,Nukuʻalofa,Tonga,Nuku'alofa;Nukualofa
Trinidad and Tobago,Trinidad und Tobago,Trinidad och Tobago,Trinidāda un Tobāgo,Port of Spain,Port of Spain,Port of Spain,Portofspeina,Trinidad và Tobago,Port of Spain,"Trinidad, Tobago",Port of Spain
Tunisia,Tunesien,Tunisien,Tunisija,Tunis,Tunis,Tunis,Tunisa,Tunisia,Tunis,Tunis,Tunes;Tūns
Turkey,Türkei,Turkiet,Turcija,Ankara,Ankara,Ankara,Ankara,Thổ Nhĩ Kỳ,Ankara,Turkiye,Ankara
Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistāna,Ashgabat,Aschgabat,Asjchabad,Ašgabata,Turkmenistan,Ashgabat,Turkmenistan,Aşgabat;Ashgabat
Tuvalu,Tuvalu,Tuvalu,Tuvalu,Funafuti,Funafuti,Funafuti,Funafuti,Tuvalu,Funafuti,Tuvalu,Fongafale;Funafuti
Uganda,Uganda,Uganda,Uganda,Kampala,Kampala,Kampala,Kampala,Uganda,Kampala,Uganda,Kampala
Ukraine,Ukraine,Ukraina,Ukraina,Kiev,Kiew,Kiev,Kijiva;Kijeva,Ukraina,Kiev,Ukrajina,Kiev;Kyjiv;Kyiv
United Arab Emirates,Vereinigte Arabische Emirate,Förenade Arabemiraten,Apvienotie Arābu Emirāti,Abu Dhabi,Abu Dhabi,Abu Dhabi,Abū Dabī,Các Tiểu Vương Quốc Ả Rập Thống Nhất,Abu Dhabi,al-Imārāt al-Arabiyya al-Muttaḥida,‘Abū ẓabī
United Kingdom,Vereinigtes Königreich,Storbritannien,Apvienotā Karaliste,London,London,London,Londona,Anh Quốc,Luân Đôn,"United Kingdom, UK",London
United States,USA,USA,ASV,"Washington, D.C.;Washington","Washington, D.C.;Washington","Washington, D.C.;Washington",Vašingtona,Hoa Kỳ,"Washington, D.C.;Washington","United States, US, USA, America","Washington, D.C.;Washington;Washington DC;D.C."
Uruguay,Uruguay,Uruguay,Urugvaja,Montevideo,Montevideo,Montevideo,Montevideo,Uruguay,Montevideo,Uruguay,Montevideo
Uzbekistan,Usbekistan,Uzbekistan,Uzbekistāna,Tashkent,Taschkent,Tasjkent,Taškenta,Uzbekistan,Tashkent,Oʻzbekiston,Toshkent;Tashkent
Vanuatu,Vanuatu,Vanuatu,Vanuatu,Port Vila,Port Vila,Port Vila,Vila,Vanuatu,Port Vila,Vanuatu,Port-Vila;Port Vila
Venezuela,Venezuela,Venezuela,Venecuēla,Caracas,Caracas,Caracas,Karakasa,Venezuela,Caracas,Venezuela,Caracas
Vietnam,Vietnam,Vietnam,Vjetnama,Hanoi,Hanoi,Hanoi,Hanoja,Việt Nam,Hà Nội,Việt Nam,Hanoi;Hà Nội
Yemen,Jemen,Jemen,Jemena,Sanaa,Sanaa,Sanaa,"Sana;Sana, Adena",Yemen,Sana'a,al Yaman,Sanaa;Sana'a;Ṣan‘ā’
Zambia,Sambia,Zambia,Zambija,Lusaka,Lusaka,Lusaka,Lusaka,Zambia,Lusaka,Zambia,Lusaka
Zimbabwe,Simbabwe,Zimbabwe,Zimbabve,Harare,Harare,Harare,Harare,Zimbabwe,Harare,Zimbabwe,Harare
